,mbti,comments
42245,INFJ,mbti보다 경험이 중요한것 같아요 별의별 사람을 다 겪어보지만 결국 좋은사람이 더 많았기에 좋은사람을 만나는 기회도 로 만드는게 중요하구요
38267,ISFP,서로 맞춰가야지용 댓글 조언 감사합니다앙
77864,ISTP,엠비티아인 모르겠고 잘안맞는거 같아요 이미 스트레스가 많으신듯
20119,ISFP,그 상황에 따라 다르지 않을까요
32892,ENFJ,엔프제 엔프제랑 잘 맞는다 해주셔서 기부니 좋네요 다들 엔프제랑 엣티제는 완전 상극이라고 만나기 힘들거랬거든요 엣티제 남친이랑 잘 만나는 중입니당
1248,ENFJ,이성교제 할 것 아니면 사과는 안해도 괜찮다고 생각해요 그리고 차단 풀다가 염탐하는 행위들은 그냥 님이 어떻게 사나 궁금해서 그래요 신경안쓰셔도 됩니다 정 신경쓰이시면 상대방을 차단하거나 멀티프로필 처리 하시면 염탐 행위 없어질 것이에요
45880,ESTP,1 본인이 멍청한 걸 지식적으로든 사회적으로든 전혀 인지하지 못하고 망아지처럼 날뛰는 사람 2 센스가 개똥으로 쓸래도 없어서 엥스러운 행동을 계속 하는 사람 쓸데없는 선물을 주고 유세를 부린다거나 자기딴엔 조언을 한답시고 입을 터는데 뭐 하나 상황에 들어맞는 말이 없다거나 하는 것도 포함 3 맞춤법 사망한 사람 4 앞뒤없이 겁내면서 우물우물 대며 하게 하는 사람
78263,ENTP,잘못된거는 바로잡아야하는데 말이예요 평생 볼 가족이면 욱 인팁이면 조용하게 회피할지 몰라도 저는 목소리를 크게 내어야살아서 여기저기 이로 지내네요 조용하게 묻어가는거 제일 어려워요
49028,ISFJ,역시나 이번에도 프사 누르다가 보톡이 눌린걸까요 그냥 잘못 눌렸어라고 하면 오히려 더 자연스러울거같은데 하필 주머니에서 눌렸다고 해서 신기했어요
67064,INTP,3주만에 풀었는데 가망은 없어 보이죠
65809,ISTJ,이건 가치관 사바사라 고래님이 싫으시면 싫은거죠 누가 뭐라할수 없는 영역인거 같아요 두분이 합의하셔야하는 전 여자로서 갠적으로 저런 일이 있으면 왠지 고놈 속내가 시커먼거 같아 안나갑니다
73433,ENTJ,처음엔 제가 좀 그분이 궁금해서 질문도 많이하고 사진도 보내구 했어용 이후론 그분도 질문이 늘어가면서 계속 이어지는 대화에 그분이 운동을 평일 퇴근후에 하시는데 운동하면서도 답이 엄청 빠르시길래 한세트하고 답장하고 한세트하고 답장하시나 라는 생각이 들더라구요 서로 뭐 맞추기 내기 같은것도 하고저는 만남을 과장한 음식 내기였지만 저도 엔티제라 보통은 흥미있는주제 아니면 연락을 안할뿐더러 상대가 이성적인 호감을 보였는데 내가 마음없으면 적당히 메세지에 좋아요 누르고 씹거든요 근데 상대랑은 메세지좋아요 계속 누르면서 연락했어요 여자친구가 있다면 긍정적인 신호 이런거고 뭐고 보내지도 않았겠죠
17232,ISTJ,약간 꼬신다 이런 느낌 좋아하는 거 티낸다 정도로 알아두세요
12125,INTP,아 뭔지는 알겠는데 저러지 말지하는 사람 다 intp 아 저거저거 결혼은 하겠나싶은 사람 다 intp
46313,ESTJ,멋지단 말은 언제 들어도 짜릿합니댜 감삼다
37665,ESTP,취해서 기절한거 같은데요
31549,ENFJ,만났을 때 폭탄 질문을 받았었는데 카톡상에서도 처음엔 선톡 질문 많이 해줬어요 최근에도 시간 될 땐 질문하는데 바쁠 땐 톡텀이 길고 대신 주기는 일정하게는 대답해줘요 그 루틴이 너무 정확해서 여쭤봤어요
12599,ENTP,그거 한번했는데 이번주는 바쁘다고 해서 다음주로 잡기로 했어요 근데 정확한 시간을 못잡앗어요
72648,INTJ,무언가에 반발심이 거의 없고 쉽게 복종하는사람을 얘기하는거죠 타인에 의해 쉽게 휘둘리고 자신의 정체감이 흐릿하고 소심한사람들이 그런거같습니다만제 개인적 의견일 뿐이지요
64881,ISTP,관심있는 이성인데 찐친이라는게 대체 무슨 말이예요 그냥 관심있는 이성이지
24852,INTJ,그런가요 거절을 잘 못해서 좋다고 하는 건지 진짜 좋아서 만난 건지 그게 헷갈려서요
24571,INTJ,isfp 귀여운 종족들이에요
53758,ENTP,오앙 브로콜리님 글 이제야 읽어봤는데 힘든 상황을 겪고있었네요 일주일에 몇 번 정도 보고 계시는걸까요 남친분이 가까이 살고 있나요
11791,ENTP,이모티콘 없었으면 우리 우쨌을까요
53614,ESTP,확실하게 말할 수 있는건 이성적으로나 친구로서나 호감이 없으면 안만납니다 귀찮아욯 알게된지 한달밖에 안된 사이인데 엣팁이 자주 먼저보자고 하는건 호감이 있어서일 확률 80프로 이상이라고 봅니다 남자든 여자든 좋아하지 않는 사람에게 시간과 돈을 쓰지 않아요 좋아하는 상대에게는 거의 내 생활이 없을 정도로 나의 시간과 돈을 퍼줌 내 모든 세계가 그분에게 맞춰 돌아간다고 해도 과언이아닐정도루 멍때리거나 정적은 첨에는 좋아하는 사람 앞에서 좀 뚝딱거려요 그래서 그런거 아닐까여 무튼 엣팁이 호감을 가지면 절대 모를수가 없어요 무지하게 티남 물론 저의 기준입니다 사람마다 다를순있어요
65889,ENFJ,신기하다 저는 겸손한 사람을 좋아해서 그런지 남들이 다 잘생겼다고 해도 그 말자체를 민망해하구 안좋아하는 사람만 만나봤는데 자기애가 엄청 인 분인가봐용
29403,INFP,헉네 혹시 고민있으심 댓글쥬세요
63566,ENFJ,와 저 답장왔어요읽씹하고 1시간 후 회식이라고 술이 들어가서 그런지 평소보다 부드럽긴하네요 나름 저의 표현으로 숙취해소제 보내드리고 빠졌습니다 그렇지만 접긴 접어야 할것같아요
38754,ESTP,저랑 생각이 같으심
36389,ISTJ,저도 거의 다 한번씩 들어본 얘기네요 리액션은 아직 뚝딱이긴 하지만 근데 전 페르소나 같은거라 기빨리고 가족들이나 엄청 친한친구들이 보는 저는 또 달라요 상대마다 엄청 다른
47103,ISTP,헷갈리게하면 호감있는겁니다 여기서 헷갈려하시면 그냥 이대로 끝나는거죠
8040,ISFJ,와 저도 갑자기 기분 안 좋아지고 예민한 그런 사람 만나본 적 있는데 제가 헤어지라 마라 할 사람은 아니지만 헤어지시는 게 정신건강에 좋습니다 그 사람 겪으면서 살면서 이렇게 힘들었던 적이 없네요
33194,ENFP,그과정에서 제탓하고 제 책임으로 넘긴 것도 정확히 일치해요 그래서 전 어장이다로 결론내렸는데 그러기엔 또 이상한 점들이 있고 하
17306,ISFJ,전 남잔데 연애경험상 estpesfj가 잘맞더라구요
32707,ESTJ,마자여 장난식으로 써준 쪽지에도 환장합니다 전 아직두 보관하고 있는 거 많아여 길게 써주면 울어요
60633,ENFP,전 솔직히 말하긴하되 최대한 기분안나쁘게 돌려말해요 무례한 상대면 바로 직설적으로 말합니다
51301,INTJ,작은 사소한 거에도 본인 감정상대에게 투사하거나 자기식 해석이 너무 빗나가는거 모르고 자기식에 결핍으로 나르시스트로 넘겨짓는거 피곤 에너지다뺏김 그렇구나그러려니가 안되고 자기랑같아야 맞고 옳고그름보다 자기편서줘야 맞고 일에 몰입해서 하기도 바쁜데 피곤하죠
46133,ISTJ,또라이아니요 제 엣팁도 화 풀어주는 스탈 절대 아니라 위로해드리러 왔는데 와 저건 좀
72246,INTJ,할 거 다 해놓고 걱정거리 없을 때 한 번 해봐야겠어요 기분이 그저그런 인 건 맞는데 말투는 넷상에서 원래 이래요
49603,INTP,그치 저랑 친구는 이러면 끝나요
69986,INTJ,그렇군요 동의합니다 만약 entj가 sp5라면 좀 더 intj같다고 보시나요
29808,ENFP,제가 아는 엣프피들 두부류에요 아예 못하는 엣프피 집에서도 혼자 못먹는데요 혼자서도 잘먹는 엣프피 이렇게 나뉘더라구요
73605,INTJ,당연하죠 날위해 이렇게까지 노력해주는구나 하며 좋아하죠
31592,ESFP,그런거라면 너무 좋은데요
31313,ISTP,wow 결정을 못하시는 이유가 뭔가요 더 나은 조건을 찾으시는건가유
49859,ISFJ,차단하고 사랑 받으며 사세요
46463,ISTP,원래 가끔해야 귀여운것
81976,ENTP,그냥 사랑방식이어서 부담 안가지셔도 될 듯 해요 서로간에 신뢰가 있기에 가능한 엔팁의 안정감이라고 생각하심 어떨까요 지켜볼 때 잇팁으로써 좀 과해보여서 저러다 어쩌나 싶으신 맘은 이해하지만요 엄청 사랑받고 계신 것 같아요 그냥 즐기세요
61123,ESTJ,맞아요 저도 되게 강하게 자라왔다고 생각했는데 이상하게 의지하던 사람에게 큰 일을 당하고나면 멘탈 깨지고 회생불능이더라구요 넹 편안한 밤 보내세요
26065,ISFP,접근금지 l 혼자만에 시간을 갖고 싶습니다 l 접근금지 외적으로 지친 제 자신을 안정시키고 싶습니다 사랑과 연애 에 관해서는 잠시만 멈춰야 되겟지여 뭐여치니가 곁에서 다독여준다면 저는 좋을것 같습니다
44730,INFJ,호감 있으면 귀엽죵
64679,ISTP,윙봉이여 순살보단 뼈가 더 맛있긴해서
40582,ENTP,infj랑은 오랫동안 잘 지내는 사이구요 infp는 항상 파국이었어용
8769,ENTP,아 제가 말하는게 그래서 제 동생이 어려워합니다 핳근데 제가 또 칭찬해주면 진심 1라고 좋아해요 늪같은가봐요
39062,INFP,저도 겜충인데 번호교환까지는 좀 선넘은듯 여자가 꼬셔서 줫거나 아님 관심잇거나 둘중하나
21836,ISTP,당하면 너무 기분나쁘고 무시당하는 기분일듯요
55948,ISTP,이거 공감이요 사람이 좀 하고 깔쌈하게 느껴지면 호감
27819,ISFP,집에 있어요
15534,ENFJ,아니 엥뿌삐가 기빨릴 정도라니이 저는 만나는데도 질문이 그렇게 많지는 않더라구요 근데 언제오는지 뭐하고 있는지 현재의 상태는 질문이 많더라구요
64902,ISFP,저 잇팁 왔다갔다 하는데 전 안지워요 맘이없어도
80814,ENTP,저 푸바오 죽순도둑 감성에 미친 사람 입니다
65421,ISTP,진짜 아무도모를거같은 얘기면 몰라도전공지식이라던가 가벼운소재정도는 괜찮을거같아요 티키타카 가능한 소재
70530,ENTJ,현금등가물인 유가증권 상품권 등 완전 좋아요 원하는걸 딱 선택해준것이 아니라면 상품권을 제일 좋아합니다
57449,ENTJ,잇팁은 아닙니다만 저는 과거는 헤어지는 그 순간에 문을 닫는 타입이라 딱히 뭐 별생각 들진 않았어요 그 중에는 굳이 청첩장 보내고 집 주소를 모르니까 회사 주소로 전화까지 한 애가 있었는데 처음에 목소리를 못알아들어서 누구냐니까 상대가 엄청 서운해하더라구요 전화번호같은건 진작에 지움 물론 결혼식에 가지도 않았고 축의금도 당연히 보내지 않았어요 신부에 대한 예의가 아니기도 하고 가야 할 이유도 없고 청첩장 받고서도 전화 받고서도 이게 지금 제정신인가 했을뿐
71869,INTJ,네 전기면도기 나중에 살거라고 확실하게 말하긴했는데 지금은 날면도기가 사서 쓰고 버리고 하는게 편하다고 나중에 각잡고 관리할수있을때 살거라고 하더라구요 그렇다면 나중에 사주는게 낫겟죠 지금 사줘도 관리하는데 귀찮아서 받아도 별로 안기쁠지 아님 사줬으니 좋아할지 모르겠네요
36175,ISTJ,외향 감정형 분들한텐 최악일듯
75928,ENTP,스토리에 누가보는지 뜨잖아요 내스토리 보는지 안보는지 보는거에요 왠만하면 클릭하지마세용
41588,ENFJ,아직은 알아가는 단계니까 뭐 그럴수도 있는 부분이라고 생각하구요제 생각임 답장 텀이 중요한게 아니라 답장의 성의나 이런부분을 보셔야죵 단답한다거나 하면 관심 없을 가능성이 높고
49923,ENFJ,헉 엔프제 남친있으시구나 엔프제 남친분도 저와 비슷하세요우와 신기이
44904,INFJ,악 정말 감사해요 마음에 머리에 새길게요 혹 잇팁들도 안읽씹 같은걸 하나여
7995,INTP,인팁특인 것 같아요 사람한테 물어봐도 될 걸 검색하다가 아차 하는 인간이 모든 것을 사람에게 물어보는 핑프를 이해할 수 있을리가저 제일 많이 하는 말 매뉴얼 보세요 구글에 검색해보세요
28331,ENTP,어떻게 떼나요 떼는방법좀
29350,ISFP,그렇게 지 맘대로 할거면 혼자 있으라고 해요 좀 노력하는 거라도 느껴져야 용서도 하고 이주고 그런거지 일방적으로 이해하는 건 너무 슬픈 것 같아요 응 이것도 진짜 차달라고 고사를 지내는건지 그따구로 할거면 평생 혼자 지내라 고 말해주고 싶네요
1723,ISFJ,보안상 통화가 자유롭지 못한 근무 환경이라 통화 가능 여부를 물어봤는데 카톡답 없으니 톡에 남겨뒀더라구요 옐로님 말만따나 좋은사람인지는 두고봐야겠네요
47683,ESTP,제가 운동코치였는데 다시 그쪽에서 근무하려고 자격증 공부를 더 하는 중입니당 그리고 운동여행 유튜브를 해볼 생각이에요
41787,INTJ,그러니까요 진짜 자기가 뭘 안다고 그런소리를 하는지 너무 어이가 없었어요 진짜 친한 친구도 제가 먼저 이런게 고민이다 라고 했을 때 저런 조언이 가능할 것 같은데
66243,ISTP,공감력떨어지는데 저칭구말 공감돼요 사랑하기두려워요무서움
1906,INFJ,아깝네요 그 자리에서 오버하지 말라면서 아니라고 능청스럽게 넘어가셨으면 될거 같아요 회피형인가요 회피형은 어렵네요
25570,ISFP,잘 헤어졌다면 모르겠지만 저런 경우에는 재회 안 하는 게 맞죠 상대방을 잡고 싶으니까 저렇게 바뀌겠다고 말하겠지만 시간 지나고 나면 다시 돌아갈 것 같아요 글 내용만 보고 적은 거라 참고만 하셔용
39300,ESTP,제가 잇팁이랑 사는데요 시끄럽고 멍청한 사람 제일 싫어하더라구요 너무 통제하려는 사람한테도 치를 떨고
5001,INFJ,친한 사람에게 심하지 않은 팩폭은 할 수 있죠
77975,INTP,으 고생하셨어요 맘고생 많이 하셨는데 더 좋은 사람 만나실 거예요 인팁이랑 잇티제 궁합은 좋은 것 같은데 아무래도 재미가 덜 한 관계긴 하져 딱 결혼 상대로 좋은 느낌이에요
62146,INFP,해산물 중에서는 굴을 제일 싫어하고 조개를 못먹습니다 야채 중에선 가지와 애호박이 제일 싫고 죽순을 못먹습니다 음식 중에선 치킨 햄버거 피자를 싫어합니당 못먹는건 딱히 없는 것 같아요
73169,INTJ,그리고 진심 학교에서 사람들 분석하는 거 좋아합니다 혼자 닮은꼴 찾기하고
62868,ENFP,맞아요 별것도 아닌거에 칭찬해주고 위로해주고 다 져주는거 진짜 너무 고마워요 엔뿌삐도 로 엄청 부족한거 알기는 하는데 칭찬해주면 부끄럽기도 하면서 그런 인티제 보면 행복하기도 하고 사랑받고 있음을 느끼기도 하고 하기도 해요 인티제가 좋은점은 오만가지 말할 수 있겠는데 인티제가 엔뿌삐를 좋아하는 점이 하나인게 너무 웃기네요 아무튼 인티제는 정말이지 사랑입니다
30264,ISFJ,톡하는거 안좋아 하는 사람 이라도 초반엔 카톡 잘 하다가 사귀면 텀이 생겨요 그때 이사람 내가 편해졌구나 생각 하는게 좋아요 지금을 즐기세요
69459,INTJ,거절할 수 있는 경우의 수도 있긴 하죠 이전의 경험이나 성향에 비추어 정말로 마음에 안드는 활동 또는 영화이거나 상대에 대한 호감을 들키고 싶지 않아서일 수도 있고요
73530,INFJ,연애의 기술 중 주어나 목적어를 빼고 칭찬하면 대놓고 칭찬하는 것보다 나을 수 있죠 나에게 하는 칭찬인가 나에게 호감있나 다시 한 번 생각하게 될 테니까요
65123,ESTJ,오 윗분과 똑같은 답변이네요
9912,ENTJ,이래서 별로라는 사람이 많은 거 같아요
61818,ISTJ,회피형은 자기 자신에 대해서 크게 반성하지않는이상 회피성은 작든 크든 생활 전반으로 드러나는 것 같아요 특히 엔프피분들은 본인이 깨닫지않는 이상 남이 아무리 맞는말해도 모른다고 하더라구요 그래도 대화는 어느정도 하시는 것 같으니 부담주지말고 위로해주고 응원해주는 연락만 꾸준히 주고 받아보세요
57843,ESTP,저도 뭐 3일도 안가서 그냥 현생열심히 살던데요 어쩔수있나 살아야죠
34594,ISTJ,istj분들이 잘 드러나지 않는다고 하더라구요 물론 찾아도 본인만의 선이 있는 느낌이라 쉽지 않아요
82002,INTP,아니 왜 싫어해요
48777,ENFJ,감사합니다 이렇게 털어내고나니 후련하네요 까닥 잘못하다간 아래 글들을 카톡으로 보낼뻔 했네요핳
9145,INTP,심지어 따지는것도 아니고 내가 이런 생각부터 든다는 자조적인 자아성찰하는 글이 었는데 거기에 틀린 근거 들이밀며 지적하는건 예의있는건가요 무례한 행동을 본인이 하고 본인의 주장이 아니라 근거가 틀렸다는걸 지적당했다고 본인의 주장을 이해 못하는 다양성 존중 못하는 사람으로 매도하고 왜곡해서 비난하시는건지 정말 불쾌하네요 못배운 사람이라 생각하고 내가 참아야지 하고 넘길테니 댓글 안다셔도 됩니다
66629,ESTP,제 인프피는요 피지컬이 좋구 옷도 굉장히 잘 입습니당 저도 옷 입는 걸 좋아해서 옷 잘 입는 남자가 이상형이라 제가 꼬셨습니다 한 번의 썸붕이 일어나긴 했는데 몇개월 지나서 다시 썸타다가 인프피가 먼저 고백을 했어용 지금은 1 일 좀 넘었어유
67747,ISTP,많은 스킨십을 하다 보면 좋은 느낌인걸 알까요
59725,ESTP,딱 2명의 언니들만 받아주고 나머지는 거의 무시하는데 무시하다가도 가끔씩 엉뚱한 짓하면 과 사람들이 반응 해줘요 그러면 다음에 좀 더 날 뛰는 거 같은 모습을 보이다가 반응 없으면 또 해지다 이리 반복하는 거 같아요
63175,INTP,그냥 사람 자체를 좋아하고 누군가와 계속 컨택되는 게 좋은 사람이 아닐까요 연락 계속 되신다면 꾸준히 해보세요 또 모르죠 기회가 있을지도
5415,INFJ,저도 인프제이지만 인프제특인가요 저는 회피형 싫어하는 사람이라 잘 모르겠어요 다만 몇번 이야기해보고 말해도 못 받아들이는 사람은 더 이상 기회를 안 주기는 해요
39453,ENTP,사람마다 조금씩 차이가 있죠 전 남친분은 대신 다른 매력이 저와 다르게 풍부하시지 않을까요 그냥 살다보니 굳이 감정적으로 싸우기 보다 열이 받아도 한번 참고 혼자 분석을 열심히 해봅니다 그러면 결론은 내가 등신이라는 결론이 자주 나더군요 그런 데이터가 쌓이니까 자존심 내리는 게 끝이 좋다는 것을 알게 된 거 같아요
81257,ENTP,정말 친구였다면 끝까지 친구라 엄청난 우주 역대급 반전매력을 보지 않는 한 불가능할 것 같아요
18327,ISFJ,상대방도 저도 인스타 비공개인 상태였거든용 근데 지금 서로 팔로우 한지 일주일이 지났는데 아무 리액션을 취하진 않아서요 무슨 생각으로 한건지 궁금하네요 혹시 상대방이 고백했다가 차인 입장이라 저한테 다시 쉽게 카톡을 못해보는건 아니겟죠오
37061,ISTP,그냥 그분이 운동에 미쳐사시는분인듯 전 운동 싫어합니다
19863,ISTJ,그 좀 재밌는게저 했어요 이랬어요 이런 말을 계속 하고 가끔 저에게 질문해요 시간도 늦었고 해서 제가 푹쉬라고 하고 마무리한 상태예요
6039,INFJ,인프제도 사바사겠지만 저는 나가는 거 좋아하는 인프제라 여름이고 머리 식힐 수 있는 가까운 바다나 공원같은 데 데려가면 좋을 것 같아요
26976,INTJ,제가 esfp 남자친구랑도 그랬어요 물론 그사람은 처음엔 enfp이긴 했는데 엄청 처음부터 잘맞고 끌렸고 나중엔 완전 파국이었죠
66756,INFJ,제가 스며든 것 같네요 가볍게 생각한 것 치고는 그동안 저한테 되게 잘해줬다고 생각하는데 참 어렵네요
2406,ISTP,다음에 올때는 남자친구가 생겼어요 글을 들고 오고 싶어요 잘 이끌고 나오겠습니다
57694,ISTP,카톡에근데 정말 귀찬고 할말없고 뭐하나 주제 던져질대 칼답하고 아니고 일상 이야기 하면의미를 못느껴용 만나자고 하는데 거의 본다면 호감이예요 카톡좋아하는 사람들 신기할정도로 카톡에의미는 안둬용
54854,ISTP,행동으로 보여주는게 최고
71748,ENTJ,제가 아까 댓글 달았어요 계속 고민하시는거면 시간 아깝다 느끼시면 보지 마세요
22258,ISFP,호감 신호입니다 하너무 한거 아닌가요
25661,ENFP,아직 일주일이시라면 한달정도 더 만나보심이 어떨지요 저도 현 남친이랑 소개팅으로 만났고 저한테 너무 직진해서 제 스타일은 아니지만 님과 똑같은 마음으로 알아가보자 하고 시작했어요 사실 소개팅 할 무렵에 제 스타일의 썸남이 있어서 그 사람이 계속 생각이 났지만 만나다 보니 이렇게 안정적으로 날 좋아해주는 사람이라면 괜찮겠다 싶었고 지금은 제가 더 좋아하나 싶을 정도로 하게 연애하고 있습니다 일주일이면 얼굴 보고 데이트 하면서 알아가기 좀 짧은 기간이잖아요 그 사람이 뮬란님을 좋아하는 마음은 그 사람꺼니까 그냥 두시고 그걸 받아드릴수 있게 마음을 조금 더 열어보시는건 어떨까요 그리구 전 남친은 진짜 그냥 전 남친입니다 이분과 헤어지고 다시 만나서 잘 되거나 그런거 아니라면 다른 어떤 사람을 만나도 초반엔 전남친이랑 비교는 당연히 하게 될거 같아요 자책하실 필요 없습니다 미안 할 필요도 없어요 새로운 사람과의 관계는 항상 혼란스러운거니 너무 힘들어 마시구요 화이팅
54501,ISFP,공익으로 판정 받는다면 데이트 같은건 평일이든 주말이든 쓰니님이 근무지에서 알바생으로 일하든 연애는 매우 자유롭겠지만 남친분 앞길을 위해서라면 현역으로 가셔서 빨리 갔다가 제대하는걸 권유드리옵니다 늦게가면 인생 꼬입니다
43813,ENFJ,좋아하는 사람과 연락 잘 되면 좋됴 해서 연락에 민감한 편입니다 그렇다고 연락 왜 안해 라고 강요하기보다 답장 텀 보면서 혼자 배려하려고 생각해요 처음엔 바쁜가 싶지만 그게 잦아진다거나 길어지면 저에대한 마음이 없오지는구나 라고 혼자 생각해요 그러면서 저도 맞춰서 늦추거나 하는데 그럼에도 좋아하면 답 빠르게 하려고 합미다 늦으면 상대가 오해안하게 왜 늦었는지도 이유 알려주구요
21034,INFP,2년 전에 연애글이 1이라면 mbti 관련 글이 67 정도였죠 다른 주제들이 2 정도였고요
58986,ENFP,거의 780퍼이상은요 하는편이에욬 특히의은 마무리도 이모티콘이나 마무리어투로 꼭 마쳐주고
56642,ISTP,대화가 안끊기긴 해요 저도 그러고 그분도 둘다 연락 진짜 안보는 성격인데 그래도 계속 물어봐서 대화도 이어나갈려고 하고 감사합니다
20407,ESFJ,정답 이렇게 생각하고 있다는 거 자체를 표현해주면 어떤 방식이던 좋아요 특히 내가 좋아하는 간식 음식 기억해주었구나가 저는 감동 포인트에요
75361,ENTJ,무관심으로 바뀌어요 질문은 확실히 없어집니다
70664,INTJ,하 모두의 이상형이였군요
9276,INFP,감사합니다
43701,INTP,애프터까지 하고 소개녀가 8시간째 안읽씹 중인데 솔직히 끝내자라는 표현 맞을까요
21058,ISFJ,그런얘기를 할 정도로까지 편해서요 한번 얘기할때 공감같은거 잘해주시는거 같아요
25827,ESFP,이게 정말 남의연애를 제3자입장에서 볼땐 객관적인데 내 연애는 왜 그게 안되는지 제가 멀어지려고만하면 꼭 다가오고 붙잡고 몇번을 이러는데 정많은 엣프피라 찾아와서 얼굴보고 자기얘기하면 또 맘 약해지고 미치겟네요
12347,ISFP,왜 기본적인 연락조차도 관심이 없나요
16606,ISFJ,진짜 싫은 경우에 차단합니다
55290,ESTP,infp는 estp istp만나보셨구나 이유도궁금해요
69620,ISFJ,와 그러면 진짜 꼰대에 말도 안통하고 환장하겠네요 방금 생각해보고 소름돋았어요 너무 힘들겠는데요
28996,INFJ,넹 남자친구 예민하고 섬세하고 눈치도 많이보는 성격이에요 처음엔 저도 그걸 잘 알아서 맞춰주고 상처 안받게 배려해주고 이줬는데 서로 편해지고 막대하게 되는 게 생기니까 그런 부분을 전혀 잊고 있었어요 그래서 어느 순간 제가 말하는거 행동 다 문제로 기억하고 있다가 터트린거 같아요 왜 이런일에 삐져해도 저는 그런 상황을 만든 나의 잘못을 즉각적으로 사과하고 풀려하는데 듣지도 않고 그냥 머랄까일반적인 남자의 무던함이 아니고 사춘기 소녀 같아요 팩 돌아사버리니까쓰다보니까 저도 알게 되는게 마냥 행복하진 않았네요 눈치를 보면서 행복했네요 에효
60400,ENFP,감동먹을것같은데욤
14251,ISFJ,그 분이 어떤걸 좋아하는지 파악하는게 좋을거 같은데요 그 분 카톡 프로필에 선물하기 표시 누르면 좋아하기 누른거 있을수도 있어요 그 중에 선물해주셔도 좋을듯
58386,ISTP,넹 그럴려거옄
9311,INFP,엌 그런가요 그치만 처음부터 다가간 사람도 제가 아니라 상대분이 먼저 다가와주셨고 해준것도 상대분이 처음부터 해주신게 많았어서 제가 더 잘해준 그런게 큽니다 원래 처음부터 저분이 해주신게 더 많았어용
78923,INTJ,멋지네요 바로 저런게 돌직구죠
42224,ENFJ,위플레이인데 라이어게임하는거에요 여럿이서 라이어게임 인스타에 홍보하길래 재밌을거같아서 깔아봤어욯 반금 인티제남과 소개팅 하고 왔습니다 영화취향은 매우 잘맞네용
56940,ENFP,전에 웃기는짬뽕이라고 하니까 좋아하던데 그런것도 좋아하시나요
17965,ISFP,귀여우시네용 잘 하셨어요
54358,ISTP,f를 마춰야 하는 더런세상
77015,INTP,청설 배드지니어스 세얼간이 19곰테드 킥애스 노킹온헤븐스도어 스파이주드로 킬러의보디가드 롱샷 언터처블 1의 우정 아이엠샘 인턴 캐치미이프유캔 크루엘라 터미널 포레스트검프 래빗 버킷리스트 그린마일머리 안 써도 되는 영화들로
10275,ESTJ,근데 밥만먹고 얼른 집에 간다길래 기분 나빴나했거든요 허겁지겁 떠나는 느낌이라 저는 당연히 밥먹고 커피라도 마실줄알았는데
82418,ENTP,벼락치기 타니다 요새는 하도 무료강의들도 잘 되어 있어서 핵심만 뽑아져있는 거 외웁니다
2686,ENFP,이성적으로 생각해서 헤어졌는데 상처받은 상대를 생각하니깐 걱정되고 맘아파요
80747,ENTP,그런 류의 멘트는 그냥 숨쉬듯 자연스러운거라제가 다 죄송하네요 같은 멘트여도 좀 능글맞게 영화대사처럼 치면 농담인거고 진심이면 두 눈 응시하면서 부담스러울정도로 진지하게 말했을거예요 연애하면 진지모드로 바뀌고 엄청 감정적으로 변하더라구요
74955,INTJ,인티제게시판에서 게시글 자주 보았습니다 이런글 쓰신지 꽤 된것같은데 이별한사람 오래 붙잡고계시면 본인만 힘들어요 화이팅하십쇼
7589,ENTJ,감동은 안받는게 아니고 받는 포인트가 다른거라고 이해하시면 됩니다 대부분 물어보면 적어도 몇가지는 쉽게 설명할걸요
26165,INFJ,와 개머네요
68206,INFP,맞는 말씀이십니다 바로 생각에서 없애버릴께요
56545,INFJ,귀여운 짓 하면 빵터지던데요
47959,INFJ,수달사진 보고 여친분 생각나서 올린거 같고 웃긴짤은 왜 올렸는지 모르겠어요 시간 갖으면서 여친분 마음이 다시 돌아와주길 바라는거 같아요
4598,ISFP,쪽지 드려도 될까요
34263,ISTP,애정표현 하기 어렵나여 왜 어려운지 궁금해요
22723,ESFP,그 소심한 부분도 있고 눈치 없어서 그럴수도 있는데 사바사지만요 그 상대방분은 님의 의도를 눈치못채고 기가 죽거나 눈치보여서 한발짜국 물러난거 아닐까요
80143,ENTP,전반적으로 볼때는 간택되지는 않은듯요 인간적 호감일 가능성이 커요 답장 느리고 전썸녀 이성적 어필에 모른척 이 부분이 그렇네요 좋으면 절대로 안할 행동들
19762,ESTP,쪽지로 보냈어요 제 아이디 친추 부탁드려요
1632,INFJ,잉뿌삐는 역시 놀려야
19563,INTP,앜뭔지 알 것 같아욬
7242,INTP,외모나 행동 목소리 등의 영향이 있지 않을까 싶어요 전 어쩌면 원글님과 반대의 현상인데 사람들이 친해지기 전까지는 엄근진으로 봐서 말 걸기도 어렵다고 하더라구요
63632,INTJ,저랑 친하고 좋았던 enfp 동아리친구 생각하면 이친구 엄청 솔직하고 진솔하더라고요 진심에서 나오는 팩트라서 기분나쁠 일이 없고 전 너무 편하고 좋더라구요 속 꼬인것도 없고 앞뒤 다른것도 없고 팩폭도 그냥 까고 공격하려는게 아니라 상대를 위해서 주는 팩트였어요
